The action space indices in the game correspond to the cells of the 3x3 grid, mapped in a row-major order starting from the top-left cell to the bottom-right cell. The indices are as follows:

- Index 0: Top-left cell (row 1, column 1)
- Index 1: Top-middle cell (row 1, column 2)
- Index 2: Top-right cell (row 1, column 3)
- Index 3: Middle-left cell (row 2, column 1)
- Index 4: Center cell (row 2, column 2)
- Index 5: Middle-right cell (row 2, column 3)
- Index 6: Bottom-left cell (row 3, column 1)
- Index 7: Bottom-middle cell (row 3, column 2)
- Index 8: Bottom-right cell (row 3, column 3)

Each index represents a potential move by placing a mark on the corresponding cell of the grid.
