In the action space for this game, each index from 0 to 8 corresponds to a specific cell in the 3x3 grid. The mapping from action space indices to grid cells is as follows:

- Index `0` corresponds to cell (1,1) in the grid.
- Index `1` corresponds to cell (1,2).
- Index `2` corresponds to cell (1,3).
- Index `3` corresponds to cell (2,1).
- Index `4` corresponds to cell (2,2).
- Index `5` corresponds to cell (2,3).
- Index `6` corresponds to cell (3,1).
- Index `7` corresponds to cell (3,2).
- Index `8` corresponds to cell (3,3).

Each index represents an action to select the corresponding cell, reveal its number, and update the player's score.
